CTY91CDC,CTY91CDO,CTY91CD,CTY91NM,ObjectId
1,,,Inner London,1
2,,,Outer London,2
,1,0,Greater London,3
3,2,0,Greater Manchester,4
4,3,0,Merseyside,5
5,4,0,South Yorkshire,6
6,5,0,Tyne and Wear,7
7,6,0,West Midlands,8
8,7,0,West Yorkshire,9
9,8,8,Avon,10
10,9,9,Bedfordshire,11
11,10,10,Berkshire,12
12,11,11,Buckinghamshire,13
13,12,12,Cambridgeshire,14
14,13,13,Cheshire,15
15,14,14,Cleveland,16
16,15,15,Cornwall and Isles of Scilly,17
17,16,16,Cumbria,18
18,17,17,Derbyshire,19
19,18,18,Devon,20
20,19,19,Dorset,21
21,20,20,Durham,22
22,21,21,East Sussex,23
23,22,22,Essex,24
24,23,23,Gloucestershire,25
25,24,24,Hampshire,26
26,25,25,Hereford and Worcester,27
27,26,26,Hertfordshire,28
28,27,27,Humberside,29
29,28,28,Isle of Wight,30
30,29,29,Kent,31
31,30,30,Lancashire,32
32,31,31,Leicestershire,33
33,32,32,Lincolnshire,34
34,33,33,Norfolk,35
35,34,34,Northamptonshire,36
36,35,35,Northumberland,37
37,36,36,North Yorkshire,38
38,37,37,Nottinghamshire,39
39,38,38,Oxfordshire,40
40,39,39,Shropshire,41
41,40,40,Somerset,42
42,41,41,Staffordshire,43
43,42,42,Suffolk,44
44,43,43,Surrey,45
45,44,44,Warwickshire,46
46,45,45,West Sussex,47
47,46,46,Wiltshire,48
48,56,56,Clwyd,49
49,57,57,Dyfed,50
50,58,58,Gwent,51
51,59,59,Gwynedd,52
52,60,60,Mid Glamorgan,53
53,61,61,Powys,54
54,62,62,South Glamorgan,55
55,63,63,West Glamorgan,56
